"Animal","GFR1","GFR2"
"A",2.02218713072746e-08,1.13240450844816e-08
"B",2.21830697053818e-08,1.11932192042264e-08
"C",9.01692756772407e-09,5.64986580749188e-09
"D",4.390732037976e-08,NA
"E",5.89983818946962e-09,NA
"F",2.1126370014456e-08,1.15586911066616e-08
"G",NA,NA
"H",2.18349432547614e-08,1.25280062611052e-08
"I",2.03270358564963e-08,9.2887200689728e-09
"J",6.31129116911382e-09,NA
